date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:05	134/134	---MCZ	200	added ('OK')	text/plain	date:Wed,%2006%20Nov%202024%2003:04:45%20GMT	https://magic-cv-soratemplates.blogspot.com/robots.txt		(from )
19:42:07	757393/757393	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2003:04:45%20GMT	https://magic-cv-soratemplates.blogspot.com/	F:/jp/magic-cv-soratemplates.blogspot.com/index.html	(from )
19:42:09	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2006%20Nov%202024%2003:04:45%20GMT	https://magic-cv-soratemplates.blogspot.com/favicon.ico	F:/jp/magic-cv-soratemplates.blogspot.com/favicon.ico	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:11	64511/64511	---M-Z	200	added ('OK')	application/atom+xml	date:Wed,%2006%20Nov%202024%2003:04:45%20GMT	https://magic-cv-soratemplates.blogspot.com/feeds/posts/default	F:/jp/magic-cv-soratemplates.blogspot.com/feeds/posts/default	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:13	51348/51348	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2006%20Nov%202024%2003:04:45%20GMT	https://magic-cv-soratemplates.blogspot.com/feeds/posts/default?alt=rss	F:/jp/magic-cv-soratemplates.blogspot.com/feeds/posts/default9522	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:14	103087/103087	---M--	200	added ('OK')	image/jpeg	etag:%22v399%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjx6pOoznxp-NOzz2zMaVppGarOEOrrHI2AA_u53mz05B7uGkuymqKprosuc8nxb9LgaOIp9EmTRGK0ZpoZ74mKKhmCgplIGMiHXokJ4BYwdIZqEVL79IQ4HwsM5jTi1L6_P9d2aZyC4_byntvScZR9COtplJGlZ2ABeHb1nc1mgNnB2k3BeG27_szm/s16000/1.jpg	F:/jp/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjx6pOoznxp-NOzz2zMaVppGarOEOrrHI2AA_u53mz/s16000/1.jpg	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:15	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	F:/jp/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:16	3725/3725	---M--	200	added ('OK')	image/png	etag:%22v76c%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhs2ugQTPrOt-3GsJ1HbpUzYsnCn-PJdqo7x-18WOWNayUvslERVX63k91ZmC3_GRitNIt_aXg1ZB8N-R6j2_WphVjaD8R8fY88qJBLquD-usjbKlSMWwB5MS_C_Lxb14pYscJgqUc_Ubg/w680/nth.png	F:/jp/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhs2ugQTPrOt-3GsJ1HbpUzYsnCn-PJdqo7x-18WOWNayUvslERVX63k91ZmC3_GRitNIt_aXg1ZB8N-R6j2_WphVjaD8R8fY88qJBLquD-usjbKlSMWwB5MS_C_Lxb14pYscJgqUc_Ubg/w680/nth.png	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:17	14534/14534	---M--	200	added ('OK')	image/jpeg	etag:%22v1154%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5QytsGLMW2c1xw1EtXS5BbVRpaf2J17duxjARfQQy_Mj5TuLYu5GCTXKLqBODRVleZFWGcCHy4RzsLVH0xru7_lQRnenrVxIdCkXt1LTPERc6bZPd2GWyv2ajmRsUYQXoThsqLrY-fZw/s280/13.jpg	F:/jp/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg5QytsGLMW2c1xw1EtXS5BbVRpaf2J17duxjARfQQy_Mj5TuLYu5GCTXKLqBODRVleZFWGcCHy4RzsLVH0xru7_lQRnenrVxIdCkXt1LTPERc6bZPd2GWyv2ajmRsUYQXoThsqLrY-fZw/s280/13.jpg	(from https://magic-cv-soratemplates.blogspot.com/)
19:42:18	14162/14162	---M--	200	added ('OK')	image/jpeg	etag:%22v1154%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdli04_Giw1L4EQQ_HIYTMEX-v4z6A5nfkxGlzmwXhH-DQLoFzy7j-C5ac3i9tb9qvGmXa81VjAaAhAxelgonZx2qw8cDY_dgvjWVCeulm4lm-vsfveFMGbMHFCk4RMfkCs5g5-EJHTks/s280/11.jpg	F:/jp/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdli04_Giw1L4EQQ_HIYTMEX-v4z6A5nfkxGlzmwXhH-DQLoFzy7j-C5ac3i9tb9qvGmXa81VjAaAhAxelgonZx2qw8cDY_dgvjWVCeulm4lm-vsfveFMGbMHFCk4RMfkCs5g5-EJHTks/s280/11.jpg	(from https://magic-cv-soratemplates.blogspot.com/)
